attr,value
Lagging_Current_Power_Factor,0.07277661176422627
Usage_kWh,0.04832689935888093
hour_cos,0.04366464721222835
hour_sin,0.02639782922737845
Day_of_week,0.02615608054988012
Load_Type,0.023791704429189688
Lagging_Current_Reactive.Power_kVarh,0.01784658316446661
WeekStatus,0.01679572099335254
Leading_Current_Power_Factor,0.0029089588584408177
