cutoff,rmse_kwh,mae_kwh,r2,wia
0.0,8.899685148398575,4.832371089125938,0.9101339314788537,0.9766532916407837
0.25,10.944349609663824,6.366344515647211,0.8640978356926552,0.9645359681627649
0.5,11.63736554580893,6.772092212486991,0.8463417756929995,0.9591559624325916
0.75,13.6534416106483,8.343902384572168,0.7884900842495237,0.9469005285851657
