step,mean_abs_attr
0,3.8206348e-27
1,4.684032e-27
2,5.3581135e-27
3,5.8930845e-27
4,6.194966e-27
5,7.2450326e-27
6,7.5366315e-27
7,8.2508495e-27
8,9.227203e-27
9,9.600094e-27
10,1.0709418e-26
11,1.1918096e-26
12,1.22010204e-26
13,1.2346467e-26
14,1.2746222e-26
15,1.3859995e-26
16,1.4093311e-26
17,1.4937157e-26
18,1.5526473e-26
19,1.5609356e-26
20,1.6677176e-26
21,1.7295054e-26
22,1.7488658e-26
23,1.8264826e-26
24,2.0103493e-26
25,2.2686675e-26
26,2.5670619e-26
27,2.8928682e-26
28,3.2885017e-26
29,3.805853e-26
30,4.0125724e-26
31,4.5297928e-26
32,5.0968485e-26
33,5.6165873e-26
34,6.9514805e-26
35,7.9590044e-26
36,8.7894746e-26
37,9.413484e-26
38,1.01603035e-25
39,1.1285077e-25
40,1.1840848e-25
41,1.3172398e-25
42,1.4818157e-25
43,1.6068597e-25
44,1.8649358e-25
45,2.078246e-25
46,2.162147e-25
47,2.3563475e-25
48,2.6259496e-25
49,2.8796465e-25
50,3.2909297e-25
51,3.671066e-25
52,4.196177e-25
53,5.114199e-25
54,5.4269504e-25
55,6.168425e-25
56,7.055171e-25
57,7.8094755e-25
58,9.293148e-25
59,1.061009e-24
60,1.2082716e-24
61,1.4066753e-24
62,1.5772393e-24
63,1.7911566e-24
64,1.996967e-24
65,2.2478012e-24
66,2.5032138e-24
67,2.7162552e-24
68,3.0577158e-24
69,3.4642476e-24
70,3.925517e-24
71,4.363621e-24
72,4.8252973e-24
73,5.368988e-24
74,5.776898e-24
75,6.340929e-24
76,7.0155585e-24
77,7.562839e-24
78,8.569294e-24
79,1.02078136e-23
80,1.1189478e-23
81,1.1346333e-23
82,1.2292047e-23
83,1.357002e-23
84,1.4202092e-23
85,1.447117e-23
86,1.5183457e-23
87,1.6770047e-23
88,1.7900503e-23
89,1.9895591e-23
90,2.0734202e-23
91,1.9547868e-23
92,2.1464195e-23
93,2.464821e-23
94,2.3859474e-23
95,2.404648e-23
96,2.7849393e-23
97,3.124767e-23
98,3.3410323e-23
99,3.3978707e-23
100,3.4930553e-23
101,4.004757e-23
102,4.318234e-23
103,4.518774e-23
104,4.7350587e-23
105,4.8999773e-23
106,5.331591e-23
107,5.828516e-23
108,6.057373e-23
109,6.251229e-23
110,6.412275e-23
111,6.7486306e-23
112,6.826238e-23
113,7.3812964e-23
114,7.826214e-23
115,7.744271e-23
116,8.1624094e-23
117,8.892339e-23
118,9.2255244e-23
119,9.676157e-23
120,1.0852895e-22
121,1.2198677e-22
122,1.3921734e-22
123,1.580223e-22
124,1.7238797e-22
125,1.937483e-22
126,2.1535133e-22
127,2.5401508e-22
128,2.7929157e-22
129,2.864553e-22
130,3.1736235e-22
131,3.496241e-22
132,3.6542105e-22
133,3.7422895e-22
134,3.8435186e-22
135,4.1560143e-22
136,4.3771955e-22
137,4.8569315e-22
138,4.9164765e-22
139,4.5210055e-22
140,4.7544144e-22
141,5.2492456e-22
142,5.022374e-22
143,5.177394e-22
144,6.0457956e-22
145,6.7400907e-22
146,7.3958656e-22
147,7.4254096e-22
148,7.2174376e-22
149,7.817919e-22
150,8.544262e-22
151,9.600864e-22
152,9.823616e-22
153,1.026515e-21
154,1.1195085e-21
155,1.1918334e-21
156,1.206962e-21
157,1.1533314e-21
158,1.2151961e-21
159,1.3172728e-21
160,1.3633735e-21
161,1.46234e-21
162,1.4478157e-21
163,1.3498107e-21
164,1.3797229e-21
165,1.5001033e-21
166,1.4523705e-21
167,1.5194137e-21
168,1.8109758e-21
169,1.9282372e-21
170,2.06262e-21
171,2.1026386e-21
172,2.0482781e-21
173,2.2381452e-21
174,2.4345674e-21
175,2.7540148e-21
176,2.9085427e-21
177,3.1331465e-21
178,3.528682e-21
179,3.8828024e-21
180,3.949645e-21
181,3.8603174e-21
182,3.9701487e-21
183,4.284427e-21
184,4.3913997e-21
185,4.6040154e-21
186,4.691803e-21
187,4.860929e-21
188,5.1952613e-21
189,5.297711e-21
190,5.4619847e-21
191,5.8269143e-21
192,6.4500527e-21
193,7.157104e-21
194,7.87251e-21
195,8.777596e-21
196,1.0042553e-20
197,1.1617786e-20
198,1.2232567e-20
199,1.4077328e-20
200,1.577621e-20
201,1.7566576e-20
202,2.1155713e-20
203,2.3756236e-20
204,2.6421023e-20
205,2.8493735e-20
206,3.210432e-20
207,3.6757195e-20
208,4.0895134e-20
209,4.6415912e-20
210,5.1934438e-20
211,5.598376e-20
212,6.386215e-20
213,7.1350583e-20
214,7.88367e-20
215,9.1287206e-20
216,1.05774286e-19
217,1.2555393e-19
218,1.4551588e-19
219,1.6227028e-19
220,1.90215e-19
221,2.199235e-19
222,2.4444567e-19
223,2.883624e-19
224,3.3016444e-19
225,3.8359762e-19
226,4.520322e-19
227,5.1527655e-19
228,5.829427e-19
229,6.6315323e-19
230,7.399952e-19
231,8.369382e-19
232,9.322175e-19
233,1.0540861e-18
234,1.1804569e-18
235,1.2851139e-18
236,1.4466945e-18
237,1.6417635e-18
238,1.85712e-18
239,2.0578053e-18
240,2.26327e-18
241,2.5075513e-18
242,2.7075677e-18
243,2.9787754e-18
244,3.2874265e-18
245,3.57112e-18
246,4.068117e-18
247,4.8581517e-18
248,5.35875e-18
249,5.385883e-18
250,5.8523765e-18
251,6.4480325e-18
252,6.7699117e-18
253,6.8564505e-18
254,7.220104e-18
255,8.149855e-18
256,8.8526375e-18
257,9.780804e-18
258,1.0053541e-17
259,9.494693e-18
260,1.04920184e-17
261,1.20000125e-17
262,1.1602077e-17
263,1.1864483e-17
264,1.398553e-17
265,1.5716766e-17
266,1.7211812e-17
267,1.6852367e-17
268,1.6855464e-17
269,2.008421e-17
270,2.1497221e-17
271,2.3272622e-17
272,2.392502e-17
273,2.425076e-17
274,2.6747729e-17
275,2.863575e-17
276,2.8821183e-17
277,2.9632773e-17
278,3.136043e-17
279,3.416579e-17
280,3.586955e-17
281,3.954063e-17
282,3.9762665e-17
283,3.6940232e-17
284,4.110165e-17
285,4.549855e-17
286,4.4241255e-17
287,4.7412696e-17
288,5.5007504e-17
289,6.2124996e-17
290,6.8036426e-17
291,6.778848e-17
292,7.055884e-17
293,8.0457794e-17
294,9.0205555e-17
295,1.03143586e-16
296,1.117766e-16
297,1.1448161e-16
298,1.2683643e-16
299,1.3995251e-16
300,1.4433689e-16
301,1.4830659e-16
302,1.5471271e-16
303,1.6986474e-16
304,1.795384e-16
305,1.9556197e-16
306,2.0051137e-16
307,1.8907763e-16
308,2.0003905e-16
309,2.1905701e-16
310,2.20683e-16
311,2.258029e-16
312,2.5741826e-16
313,2.9964238e-16
314,3.250587e-16
315,3.323652e-16
316,3.3581346e-16
317,3.736006e-16
318,4.0363878e-16
319,4.3858477e-16
320,4.754467e-16
321,4.9790937e-16
322,5.622468e-16
323,6.233117e-16
324,6.4737336e-16
325,6.7588105e-16
326,6.6673516e-16
327,6.8524997e-16
328,6.7280944e-16
329,7.3215225e-16
330,7.615487e-16
331,7.5165037e-16
332,8.0154415e-16
333,8.5792547e-16
334,8.413465e-16
335,8.504352e-16
336,9.475047e-16
337,1.0157297e-15
338,1.1345857e-15
339,1.3163775e-15
340,1.385255e-15
341,1.5584261e-15
342,1.6775626e-15
343,1.7830471e-15
344,1.8166678e-15
345,1.9664526e-15
346,2.1683986e-15
347,2.3557987e-15
348,2.5126354e-15
349,2.5360454e-15
350,2.577574e-15
351,2.7342628e-15
352,2.6973828e-15
353,2.8893287e-15
354,2.904108e-15
355,3.0624362e-15
356,3.2588096e-15
357,3.182213e-15
358,3.2025456e-15
359,3.3293178e-15
360,3.5564156e-15
361,3.7140468e-15
362,4.0077995e-15
363,4.5154674e-15
364,4.9946505e-15
365,5.7439405e-15
366,6.0139894e-15
367,6.4288784e-15
368,7.0471765e-15
369,7.643921e-15
370,9.0597475e-15
371,9.900719e-15
372,1.101803e-14
373,1.1784917e-14
374,1.2609027e-14
375,1.3447072e-14
376,1.4377671e-14
377,1.697531e-14
378,1.9276966e-14
379,2.054621e-14
380,2.3381787e-14
381,2.6030556e-14
382,2.7671338e-14
383,3.0766537e-14
384,3.5590898e-14
385,4.1346585e-14
386,4.85329e-14
387,5.5719382e-14
388,6.203763e-14
389,7.225133e-14
390,8.011341e-14
391,9.222111e-14
392,1.0478624e-13
393,1.1906212e-13
394,1.4238747e-13
395,1.6466291e-13
396,1.8557074e-13
397,2.0646188e-13
398,2.3223063e-13
399,2.6642122e-13
400,2.997786e-13
401,3.3731213e-13
402,3.7895888e-13
403,4.1488593e-13
404,4.614041e-13
405,5.205622e-13
406,5.874822e-13
407,6.469e-13
408,7.153289e-13
409,8.1368186e-13
410,8.69929e-13
411,9.443247e-13
412,1.0649486e-12
413,1.1341789e-12
414,1.2564731e-12
415,1.4709013e-12
416,1.6242615e-12
417,1.7246716e-12
418,1.8883929e-12
419,2.08052e-12
420,2.1443812e-12
421,2.1505508e-12
