step,mean_abs_attr
0,1.7666698e-05
1,1.9762572e-05
2,2.3500234e-05
3,2.8542456e-05
4,3.3768014e-05
5,4.05236e-05
6,4.5565626e-05
7,4.8166825e-05
8,4.7223086e-05
9,4.395987e-05
10,4.1923697e-05
11,4.599066e-05
12,5.6999386e-05
13,7.121463e-05
14,8.3885134e-05
15,9.59928e-05
16,0.000103460006
17,0.00010847814
18,0.00011377696
19,0.00011447947
20,0.0001098093
21,0.00010548845
22,0.000100200494
23,0.000101141166
24,0.00010118399
25,9.672016e-05
26,9.5516385e-05
27,9.653491e-05
28,0.000103584294
29,0.0001143946
30,0.00012817964
31,0.00014391419
32,0.00015755449
33,0.00016584272
34,0.0001690285
35,0.00016622015
36,0.0001591677
37,0.00016268445
38,0.00017884097
39,0.00019686183
40,0.00020027188
41,0.00021788711
42,0.00024274489
43,0.00025827438
44,0.00027681587
45,0.00030509345
46,0.00034609408
47,0.00038363054
48,0.0003979315
49,0.00037270592
50,0.0003308965
51,0.0003045642
52,0.00031278568
53,0.0003460124
54,0.00040687766
55,0.00044169129
56,0.00047681067
57,0.0004791768
58,0.00043605897
59,0.00044269348
60,0.00058993365
61,0.00070998387
62,0.00076062104
63,0.0008300416
64,0.0008192301
65,0.0006626438
66,0.00083751354
67,0.0013188884
68,0.0011899017
69,0.0022091146
70,0.0035878133
71,0.002765054
72,0.005236598
73,0.018923342
