lag,mean_abs_attr
0,0.0010920187
1,0.0022537152
2,0.00089414406
3,0.00044569798
4,0.00031754962
5,0.00034165083
6,0.00036863371
7,0.00037566855
8,0.00038850156
9,0.00038498992
10,0.00037346315
11,0.0004044653
12,0.0004941396
13,0.0005309794
14,0.0005944988
15,0.0007644354
16,0.0010177281
17,0.0013376687
18,0.001666154
19,0.002120156
20,0.0018329106
21,0.0026144928
22,0.0048863394
23,0.015683949
