Window Size,Single_RMSE,Single_MAE,Single_R2,Single_WIA,Double_RMSE,Double_MAE,Double_R2,Double_WIA,Bidirectional_RMSE,Bidirectional_MAE,Bidirectional_R2,Bidirectional_WIA
win1,0.0735492871854401,0.039828062861132725,0.8646680428897506,0.9635922316161394,0.07801507641433965,0.04427194962958546,0.8477348541727308,0.9614622326694384,0.07370697083503891,0.0394111881983683,0.8640871395815306,0.9637819856932314
win4,0.06663631390627339,0.03545651852745191,0.8889214578774359,0.9702665506888214,0.06515384969529403,0.03620610588940205,0.8938088305378065,0.9713342297649921,0.06544306204842529,0.03470696131920853,0.8928639911564018,0.9712685584476016
win8,0.05918441522033071,0.032292256591409246,0.912383188979914,0.9776899485483229,0.062217482369695834,0.032965004996403806,0.9031727523079072,0.9760695952153186,0.056661662951522,0.03002059191610175,0.9196933789263168,0.9783851880576299
win16,0.056444809920040986,0.030274828340027763,0.9203133894513161,0.9794846075746056,0.0578547002329209,0.030510002615301447,0.9162828143233548,0.9761327362347718,0.05799814814326341,0.033578338180604614,0.9158671542912238,0.9777512318898612
win24,0.05760306054117043,0.03194233935967601,0.917029098450825,0.978609583711491,0.057337469601853264,0.03137129459839989,0.9177924439378576,0.9776917689997034,0.06125282268048416,0.034616552655625916,0.9061818412748623,0.9764418953881167
win48,0.05555472722991793,0.030139267631052246,0.9228515707873336,0.9799467885394552,0.05544031899131502,0.030066073758946557,0.9231689993076083,0.9797363973243346,0.057845221519292084,0.030929513160945055,0.9163588441161974,0.9771506689216645
win64,0.058293118193005644,0.031193881912655833,0.9150822231086472,0.9776994703410231,0.05678325255331532,0.030194517874987715,0.9194242099259209,0.9787260752378464,0.06100329385316829,0.037213331225425625,0.907002641637497,0.9763518205205668
win96,0.057585639841601366,0.03174830233928278,0.9171817024738882,0.9791666033534581,0.05605644969535836,0.02995191940443086,0.921521791184796,0.9789429454937997,0.05687751812055449,0.031011255779139296,0.9192059869520022,0.9786061201257034
win672,0.05682155849399586,0.031212579310875697,0.9200751340229198,0.9785859520286672,0.05825128308381737,0.03401533814349422,0.9160024486738392,0.9764853799917147,0.05864415907580361,0.03175594581158081,0.914865584180756,0.9764281040595261
