lag,mean_abs_attr
0,7.9998536e-05
1,8.12947e-05
2,6.835358e-05
3,5.433715e-05
4,5.028523e-05
5,4.2905198e-05
6,4.027165e-05
7,4.025868e-05
8,4.477512e-05
9,4.5712677e-05
10,4.347004e-05
11,4.4167893e-05
12,4.3430693e-05
13,3.8143422e-05
14,3.297267e-05
15,3.5124573e-05
16,4.1728268e-05
17,5.2395113e-05
18,5.917942e-05
19,6.358676e-05
20,6.5609565e-05
21,5.8592377e-05
22,4.4753226e-05
23,4.817305e-05
24,6.2503335e-05
25,7.424338e-05
26,8.4605126e-05
27,9.369752e-05
28,9.741249e-05
29,9.007152e-05
30,8.0289945e-05
31,7.8737175e-05
32,8.9217436e-05
33,0.000109437075
34,0.00012789012
35,0.00014470903
36,0.00016758038
37,0.0001804305
38,0.000169321
39,0.00014353
40,0.00012122952
41,0.00014769119
42,0.0001850338
43,0.0002060415
44,0.00021498834
45,0.00023223259
46,0.00027249046
47,0.00031758373
48,0.00033611627
49,0.00032593336
50,0.00030230827
51,0.00030497316
52,0.00036224982
53,0.0004283954
54,0.00045331116
55,0.000444006
56,0.00042450087
57,0.00043349722
58,0.00046255992
59,0.0004898938
60,0.00049089384
61,0.00051244476
62,0.00052953593
63,0.0005609997
64,0.00057796814
65,0.0005874499
66,0.0005773207
67,0.0005417018
68,0.0005037129
69,0.00050911325
70,0.0005486038
71,0.0006155732
72,0.00069902476
73,0.0008378791
74,0.0009767524
75,0.0009876651
76,0.0008500225
77,0.00071516447
78,0.00068457343
79,0.00080425304
80,0.0010627052
81,0.0012405851
82,0.0012425692
83,0.0010737508
84,0.0009838447
85,0.0010275076
86,0.0009746812
87,0.00086891104
88,0.0009394969
89,0.0009054048
90,0.0009513151
91,0.001106413
92,0.0012963075
93,0.0019489331
94,0.004371889
95,0.014940767
