attr,value
Day_of_week,0.16687413919418556
Usage_kWh,0.10467115146690231
NSM,0.06932672285005284
Lagging_Current_Reactive.Power_kVarh,0.04633311289568714
Leading_Current_Reactive_Power_kVarh,0.04145239114274053
Leading_Current_Power_Factor,0.032381968930331774
Lagging_Current_Power_Factor,0.02539365079154849
WeekStatus,0.012141373861625452
Load_Type,0.009974540900623882
CO2(tCO2),0.005876164141628473
