step,mean_abs_attr
0,4.0806335e-05
1,4.7967744e-05
2,5.5966775e-05
3,6.692459e-05
4,8.56557e-05
5,0.000100376106
6,0.000112130714
7,0.00012572498
8,0.00014588013
9,0.0001668979
10,0.00018885332
11,0.00019913237
12,0.00019598084
13,0.00018705704
14,0.00018212156
15,0.00017345023
16,0.00016926213
17,0.0001817811
18,0.00018805938
19,0.0001853224
20,0.00022329569
21,0.00025241097
22,0.00030268752
23,0.00034709714
24,0.0003952948
25,0.000456553
26,0.0005446261
27,0.0006267591
28,0.00067487534
29,0.0006981834
30,0.0006845495
31,0.00065060786
32,0.0006851304
33,0.0006635481
34,0.0006506058
35,0.0006558997
36,0.000758533
37,0.0009139144
38,0.0009816827
39,0.0010381129
40,0.0014907822
41,0.0020086418
42,0.0019850102
43,0.0017112207
44,0.0019873562
45,0.0028531398
46,0.0050081993
47,0.02457023
