attr,val
Lagging_Current_Power_Factor,0.13757876720389836
Leading_Current_Reactive_Power_kVarh,0.09526799631443014
Lagging_Current_Reactive.Power_kVarh,0.08623270208679253
Day_of_week,0.08100194828854312
Load_Type,0.06492056915738308
NSM,0.05762061787219816
Usage_kWh,0.04452778873358843
Leading_Current_Power_Factor,0.02825620218366382
CO2(tCO2),0.02357313057269763
WeekStatus,0.02252884709902317
