,n_samples,hidden_dim,load_type_silhouette,week_status_silhouette,usage_silhouette,start_usage_silhouette,end_usage_silhouette,pc1_corr_start_usage,pc1_corr_end_usage,pc1_std,pc2_std,spread,silhouette
single,2000.0,64.0,0.053336258977651596,0.09011448919773102,0.10353797674179077,0.02627485617995262,0.06456384062767029,0.5806663222289397,0.6338811428406114,0.71108078956604,0.5864707231521606,0.9217286705970764,0.10353797674179077
bidir,2000.0,128.0,-0.0013605670537799597,0.10761304944753647,0.0964011549949646,0.011375287547707558,0.08188484609127045,0.49294917348220396,0.6664184107071262,0.8051206469535828,0.5367114543914795,0.9676148295402527,0.0964011549949646
