track,stack,window,rmse_kwh,mae_kwh,r2,wia,top1_feature,top1_value,top2_feature,top3_feature,usage_kwh_rank1,recency_ratio,start_ratio,mid_ratio,u_shape_score,peak_step,ig_pattern,erasure_baseline_rmse,delta_25,delta_50,delta_75,total_sensitivity,max_delta,top_faithful_feature,usage_kwh_max_delta,is_best_track
hourly,double,16,9.834653397682564,5.485508529806138,0.8902175239114973,0.9723432917353516,Day_of_week,0.0568746950645653,Usage_kWh,Leading_Current_Reactive_Power_kVarh,False,0.7238016389766508,0.038253807086743356,0.23794455393660568,3.2026597518446445,15,mixed,9.834653397682564,1.1430260354703492,3.6679186741885665,7.203669565269168,7.203669565269168,11.839129469724146,Usage_kWh,11.839129469724146,False
hourly,double,24,8.899685148398575,4.832371089125938,0.9101339314788536,0.9766532916407836,Usage_kWh,0.0873895169139316,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,True,0.7544490122417412,0.06233141648823692,0.18321957127002167,4.457932212526793,23,u_shaped,8.899685148398575,2.044664461265249,2.7376803974103545,4.753756462249726,4.753756462249726,10.758767060147733,Usage_kWh,10.758767060147733,True
hourly,double,36,9.313292445778186,5.142104990290849,0.9016661329403648,0.9743481290367448,NSM,0.0607681425008493,CO2(tCO2),Usage_kWh,False,0.7683489590253653,0.026277172108222422,0.2053738688664122,3.869168631431204,35,mixed,9.313292445778186,-0.006508515272797055,0.04462071285104763,2.2050816844166032,2.2050816844166032,6.408396637301486,NSM,,False
hourly,double,48,10.180231647068458,5.828756724409759,0.8826302491869542,0.9712358073437132,NSM,0.0891078364271569,Usage_kWh,Lagging_Current_Power_Factor,False,0.66532636878865,0.0757443723909233,0.2589292588204267,2.8620587126985235,47,recency_dominant,10.180231647068458,-0.38251183088997287,-0.3075857486766207,1.53081823550583,1.53081823550583,6.573744617434498,Usage_kWh,6.573744617434498,False
hourly,double,74,9.527828517060351,5.425459177116615,0.89734635267719,0.9731302332338728,Leading_Current_Power_Factor,2.057518165900061,NSM,Leading_Current_Reactive_Power_kVarh,False,0.8333835349673365,0.018663111899245802,0.14795335313341776,5.758887033119449,73,mixed,9.527828517060351,-0.010385478587213726,-0.16425231189997902,0.4826731030145286,0.4826731030145286,7.235690758034325,NSM,,False
hourly,double,168,9.466494038763004,5.438529252732256,0.8991606560713981,0.973135117871908,Usage_kWh,0.1153284876942634,Leading_Current_Power_Factor,Lagging_Current_Power_Factor,True,0.9936075413980124,3.1513921895422544e-06,0.006389307209797993,49.68053463951009,167,mixed,9.466494038763004,-1.5164811397738731e-06,0.00013304135609537582,-0.02184857420285269,-0.02184857420285269,10.027227194414747,Usage_kWh,10.027227194414747,False
hourly,double,336,9.79007910603476,5.569106175761889,0.890695191983636,0.96968181842071,Load_Type,0.0828728217581947,Lagging_Current_Power_Factor,Usage_kWh,False,0.9988998029487051,1.3482940174213013e-07,0.0011000622218930605,49.94499688890534,335,mixed,9.79007910603476,-6.214018988259795e-08,-3.003972892656748e-08,-0.00033410152637181056,-0.00033410152637181056,5.563974138125708,Load_Type,,False
hourly,double,672,11.472599006262127,6.509220690779609,0.8483606236089,0.9589407767262088,Leading_Current_Reactive_Power_kVarh,0.1065440558137164,Leading_Current_Power_Factor,Load_Type,False,0.9999999843630982,9.36340342937376e-21,1.5636901797787608e-08,49.99999921815491,671,mixed,11.472599006262127,-6.372847138891302e-09,3.655296048066248e-07,6.057950940885348e-08,6.057950940885348e-08,2.3695685719260986,Leading_Current_Power_Factor,,False
hourly,bidir,1,13.871319656620791,8.629928100666714,0.7813333677525398,0.9363770946503718,Usage_kWh,0.0981160618430961,Lagging_Current_Reactive.Power_kVarh,WeekStatus,True,0.0,1.0,0.0,50.0,0,u_shaped,13.871319656620791,0.0,0.0,0.0,0.0,13.31948787328312,Usage_kWh,13.31948787328312,False
hourly,bidir,4,10.683158378118808,6.266068045913763,0.8702981143035585,0.9648485396903546,Usage_kWh,0.0618554721901625,WeekStatus,Load_Type,True,0.36447676774400917,0.13292824701720357,0.5025949852387872,0.9896736524836023,3,flat,10.683158378118808,2.597720525747995,6.268467520488169,7.678403442804701,7.678403442804701,9.923984982214655,Usage_kWh,9.923984982214655,False
hourly,bidir,8,11.009990594770509,6.16844989241427,0.8622802940291696,0.9669326491944932,Usage_kWh,0.0458603695855019,CO2(tCO2),Load_Type,True,0.5622916063431563,0.15398857998340806,0.2837198136734357,2.5246040347080236,7,recency_dominant,11.009990594770509,2.9662924526167433,4.123789008409499,7.107620576169731,7.107620576169731,10.73602814869531,Usage_kWh,10.73602814869531,False
hourly,bidir,12,10.124566193497373,5.610549942542542,0.8836104757801755,0.9712712145156293,Usage_kWh,0.0407316274594844,Load_Type,Leading_Current_Reactive_Power_kVarh,True,0.6141032597026842,0.12741640850131464,0.2584803317960012,2.8687663121278555,11,recency_dominant,10.124566193497373,2.5003783253094642,6.656254698463151,7.158703858879459,7.158703858879459,10.777048585882188,Usage_kWh,10.777048585882188,False
hourly,bidir,16,9.667307063089371,5.273249183225706,0.893921851451625,0.9709808953087364,Usage_kWh,0.0571528176784018,Day_of_week,Lagging_Current_Power_Factor,True,0.6816975012612492,0.08523947164367626,0.2330630270950746,3.290684852351398,15,u_shaped,9.667307063089371,1.8490543575875655,4.89037807067197,8.404509134909116,8.404509134909116,12.593899324155132,Usage_kWh,12.593899324155132,False
hourly,bidir,24,9.542301512673388,5.479072363476321,0.8966875340999892,0.9737267225417784,Day_of_week,0.0983382946937746,Leading_Current_Reactive_Power_kVarh,Usage_kWh,False,0.6993987107654436,0.12977813785914918,0.17082315137540724,4.854007445409804,23,u_shaped,9.542301512673388,2.0653573351187795,2.428939267089076,3.9462617058691283,3.9462617058691283,0.4417339121375523,Day_of_week,,False
hourly,bidir,36,10.064246021570948,5.878145557226226,0.8851690052861239,0.971509550018304,Lagging_Current_Reactive.Power_kVarh,3925709272296.125,Day_of_week,Lagging_Current_Power_Factor,False,0.6642802936286649,0.17330148333054307,0.16241822304079223,5.156944592041527,35,u_shaped,10.064246021570948,1.7835699167595749,1.973371571675548,2.590259120642221,2.590259120642221,0.5452065953741148,Lagging_Current_Reactive.Power_kVarh,,False
hourly,bidir,48,9.609474911757296,6.175631608637708,0.8954220374357362,0.9709858333800088,Day_of_week,0.0619211820344959,Usage_kWh,Load_Type,False,0.6694847872947942,0.2102548273580259,0.12026038534718003,7.315290169020309,47,u_shaped,9.609474911757296,1.7648767614630874,1.9892476591528752,2.7785172336492057,2.7785172336492057,10.036464187974488,Usage_kWh,10.036464187974488,False
hourly,bidir,74,9.74600497199026,5.717934952429699,0.8925912214792309,0.9704674255937566,Usage_kWh,0.1008524702880321,Load_Type,Leading_Current_Power_Factor,True,0.6678487301210153,0.17827369146021782,0.15387757841876684,5.498672582944939,73,u_shaped,9.74600497199026,1.849839630411065,1.6296001062305692,2.5799757085841115,2.5799757085841115,10.437488263735236,Usage_kWh,10.437488263735236,False
hourly,bidir,168,10.400653654516242,6.043515902094148,0.8782769155321611,0.966665656438204,Leading_Current_Power_Factor,0.1167176520388179,Usage_kWh,Lagging_Current_Power_Factor,False,0.7575153617462645,0.23248903810109847,0.009995600152637089,49.500219992368145,167,u_shaped,10.400653654516242,1.9977390066817922,1.9979790928151466,1.9905785874830464,1.9905785874830464,9.745340990684182,Usage_kWh,9.745340990684182,False
hourly,bidir,336,10.536641521274182,5.927411154037048,0.8733890483403497,0.9665975718648584,Load_Type,0.134245950592249,NSM,Lagging_Current_Power_Factor,False,0.7452442996260983,0.25138448322374934,0.0033712171501523902,49.83143914249238,335,u_shaped,10.536641521274182,1.9062327321614312,1.9064831575708894,1.9017424428801704,1.9017424428801704,5.930131597760392,NSM,,False
hourly,bidir,672,10.238349300543607,5.77435543604231,0.8792330089874109,0.9681578228315666,Lagging_Current_Reactive.Power_kVarh,0.0705014928281307,Day_of_week,WeekStatus,False,0.7969240165645199,0.20307422193490615,1.7615005738643654e-06,49.9999119249713,671,u_shaped,10.238349300543607,2.369831221335801,2.369831469354848,2.3698330557595284,2.3698330557595284,0.6563549831204067,Day_of_week,,False
15min,single,1,11.41534501428804,5.821602597772629,0.8680443304502835,0.9640248827750126,Usage_kWh,0.1605928001149826,WeekStatus,Lagging_Current_Reactive.Power_kVarh,True,0.0,1.0,0.0,50.0,0,u_shaped,11.41534501428804,0.0,0.0,0.0,0.0,23.70854876870287,Usage_kWh,23.70854876870287,False
15min,single,4,10.028420193833016,5.222864351143475,0.8981690202256206,0.9721952116508654,Usage_kWh,0.2091355332913716,CO2(tCO2),WeekStatus,True,0.5318916961674287,0.10888819092029618,0.3592201129122751,1.783808489710623,3,mixed,10.028420193833016,1.1867294722137736,1.6165174880425486,4.86743304513416,4.86743304513416,21.26313681818643,Usage_kWh,21.26313681818643,False
15min,single,8,8.636858542491,4.411439053811174,0.9244749003699458,0.980010495035422,Usage_kWh,0.1291351690899325,Lagging_Current_Power_Factor,Day_of_week,True,0.6128343946283806,0.09080469056457384,0.2963609148070456,2.3742641152632395,7,recency_dominant,8.636858542491,1.6821673666305248,3.395887119575697,4.926449492192921,4.926449492192921,21.008721517178245,Usage_kWh,21.008721517178245,False
15min,single,16,9.001866778363073,5.308841651492825,0.9179630814768692,0.9790689871078492,Usage_kWh,0.1158197446667517,Lagging_Current_Reactive.Power_kVarh,WeekStatus,True,0.5438873327923672,0.16690437450130588,0.28920829270632703,2.457715512381375,15,mixed,9.001866778363073,3.574688580251575,2.3520064368010303,3.0871407944026252,3.0871407944026252,20.89485975270647,Usage_kWh,20.89485975270647,False
15min,single,24,9.041265886565638,4.811498221945603,0.9172569878259784,0.978491373514119,Usage_kWh,0.1264336141063691,Day_of_week,Lagging_Current_Reactive.Power_kVarh,True,0.5868985924384142,0.1574346702729373,0.25566673728864836,2.9113418139763625,23,recency_dominant,9.041265886565638,2.301450212591263,2.1132564849799493,2.9666000482888624,2.9666000482888624,21.812142010806102,Usage_kWh,21.812142010806102,False
15min,single,48,9.07265705850862,4.733133605770242,0.9167156359352936,0.9791291155262462,WeekStatus,0.0606508140037093,Usage_kWh,Day_of_week,False,0.5643016278937973,0.09618914261229937,0.33950922949390333,1.945428027069165,47,recency_dominant,9.07265705850862,0.7650031113800804,0.3211112234646709,1.7311565361654022,1.7311565361654022,22.025970575403647,Usage_kWh,22.025970575403647,False
15min,single,64,8.692376341339243,4.472787968281114,0.9235723217496684,0.9800517107672474,Day_of_week,0.0690462827360038,WeekStatus,Usage_kWh,False,0.6107420091908458,0.044410072218397906,0.3448479185907563,1.8998290147336998,63,recency_dominant,8.692376341339243,0.045858896287894524,1.980590937311021,3.561415607748586,3.561415607748586,0.3071924063154974,WeekStatus,,False
15min,single,96,8.187367146499094,4.282084709344404,0.9322362607012816,0.9818005726984468,CO2(tCO2),0.0305349454587946,Lagging_Current_Power_Factor,Lagging_Current_Reactive.Power_kVarh,False,0.6151902286586429,0.05532983986388712,0.32947993147747023,2.0350862206257925,95,recency_dominant,8.187367146499094,-0.0019017816825659395,0.016849999045131625,3.9016004288024657,3.9016004288024657,3.362798407779364,Lagging_Current_Power_Factor,,True
15min,single,672,8.8512578344737,4.49451030183113,0.9214993860670128,0.978302211004406,Leading_Current_Power_Factor,0.0712325785093837,Lagging_Current_Reactive.Power_kVarh,Usage_kWh,False,0.995775128482312,1.8290556164798032e-06,0.004223042462071725,49.78884787689642,671,mixed,8.8512578344737,2.0405138911883114e-08,1.6201404662297136e-09,-6.339038232461291e-05,-6.339038232461291e-05,1.1748690268722497,Leading_Current_Power_Factor,,False
15min,double,1,11.497694766130236,5.742666258785792,0.8661336195794211,0.965194881918636,Usage_kWh,0.1645137473729461,Lagging_Current_Reactive.Power_kVarh,WeekStatus,True,0.0,1.0,0.0,50.0,0,u_shaped,11.497694766130236,0.0,0.0,0.0,0.0,31.85247893816301,Usage_kWh,31.85247893816301,False
15min,double,4,9.760453510415386,4.939817281656791,0.9035383089096672,0.9741931899174846,Usage_kWh,0.2075987296349375,Lagging_Current_Power_Factor,WeekStatus,True,0.45654289837504564,0.11237077696757687,0.4310863246573775,1.3197209997203894,3,flat,9.760453510415386,1.3810251661207182,2.747330570448895,3.208615178785754,3.208615178785754,18.2404915342417,Usage_kWh,18.2404915342417,False
15min,double,8,8.785410418756346,4.45653162510773,0.921854530789781,0.9795162992010028,Usage_kWh,0.1154923216104753,NSM,Lagging_Current_Power_Factor,True,0.548928405162667,0.1802871935049641,0.27078440133236886,2.6929749094836897,7,mixed,8.785410418756346,2.912812976306931,5.3723157538675235,7.623884413927502,7.623884413927502,19.68659990583475,Usage_kWh,19.68659990583475,False
15min,double,16,8.374930456579659,4.268899490137843,0.9289921120674112,0.9812786135457257,Usage_kWh,0.0862644887454546,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,True,0.632896352364702,0.12603888258470677,0.2410647650505913,3.148262811407275,15,u_shaped,8.374930456579659,2.852314479742093,3.827927826396561,7.405488587093977,7.405488587093977,20.88751119274252,Usage_kWh,20.88751119274252,False
15min,double,24,8.868159331302717,4.818057179748919,0.9203950966969868,0.9793553844325892,Usage_kWh,0.1123488413281078,NSM,Lagging_Current_Power_Factor,True,0.7103500314320114,0.07344299090135864,0.21620697766662997,3.625197626793998,23,u_shaped,8.868159331302717,1.8973209227316126,3.5444825983874004,2.9953910227241973,2.9953910227241973,22.531189220948576,Usage_kWh,22.531189220948576,False
15min,double,48,8.498960141375447,4.670360560850191,0.9269153672935814,0.9809110778012544,Usage_kWh,0.0747144960920015,NSM,Day_of_week,True,0.5461816141103725,0.09223384463005328,0.36158454125957423,1.7656049578793251,47,mixed,8.498960141375447,1.071512477014899,2.9499008711285413,2.41793514351059,2.41793514351059,21.47513120563609,Usage_kWh,21.47513120563609,False
15min,double,64,8.774803028222292,4.429876115201776,0.92211597681933,0.9798123206339724,Day_of_week,0.1668741391941855,Usage_kWh,NSM,False,0.4717032169213171,0.11678277243349615,0.4115140106451867,1.430050919608213,63,mixed,8.774803028222292,0.11429874189319733,1.2755532774023983,1.0665622825017582,1.0665622825017582,23.653034784099127,Usage_kWh,23.653034784099127,False
15min,double,96,8.869470325441274,4.481978574344409,0.9204749041518728,0.9798101281921544,Lagging_Current_Power_Factor,5299013035790.967,CO2(tCO2),Usage_kWh,False,0.7212718272360961,0.02120020013544281,0.2575279726284612,2.8830733212920228,95,recency_dominant,8.869470325441274,0.051074364457603494,0.49929899653257515,2.0779344993343347,2.0779344993343347,1.2612632486113036,Lagging_Current_Power_Factor,,False
15min,double,672,8.713933564407123,4.707138723468915,0.9239163115200134,0.9801013911873389,Leading_Current_Reactive_Power_kVarh,0.0572757199817233,Lagging_Current_Reactive.Power_kVarh,Load_Type,False,0.9954353743053609,1.227651211214617e-05,0.004552349182527016,49.77238254087365,671,mixed,8.713933564407123,-2.2885586759002763e-09,3.690633221253847e-08,2.5044284052810895e-05,2.5044284052810895e-05,1.0530311847443343,Lagging_Current_Reactive.Power_kVarh,,False
15min,bidir,1,11.343105208492924,5.571064608819668,0.8697091578890668,0.9637006619729948,Usage_kWh,0.1647687442014973,WeekStatus,CO2(tCO2),True,0.0,1.0,0.0,50.0,0,u_shaped,11.343105208492924,0.0,0.0,0.0,0.0,24.530363881334864,Usage_kWh,24.530363881334864,False
15min,bidir,4,10.288863452596107,5.386919323490965,0.8928111320966792,0.9709300127484436,Usage_kWh,0.1694377067002168,WeekStatus,NSM,True,0.5903526642809693,0.12101464689217525,0.28863268882685533,2.4646110392571607,3,recency_dominant,10.288863452596107,0.9405625678926643,1.941686763773383,3.1421349866370054,3.1421349866370054,19.0785602007682,Usage_kWh,19.0785602007682,False
15min,bidir,8,9.326755888215835,5.454793437190588,0.9119273804882638,0.978157435364012,Usage_kWh,0.1254669683378914,Leading_Current_Power_Factor,Lagging_Current_Reactive.Power_kVarh,True,0.5484085362191622,0.18350250485793687,0.268088958922901,2.73010512636437,7,mixed,9.326755888215835,2.45235258334632,3.420360371778308,3.9666468896865528,3.9666468896865528,21.293278844974623,Usage_kWh,21.293278844974623,False
15min,bidir,16,8.720022468990953,4.691804406217568,0.923019738116596,0.979149585456112,Usage_kWh,0.122289018703593,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Power_Factor,True,0.6384486066512264,0.16363972018071307,0.1979116731680605,4.0527590616185165,15,u_shaped,8.720022468990953,2.2267968125849382,2.607218351117739,3.3255912858146583,3.3255912858146583,22.44749330416821,Usage_kWh,22.44749330416821,False
15min,bidir,24,8.789670692940675,4.894749392666592,0.921797965221669,0.9794188632260036,Usage_kWh,0.1387191304638126,NSM,Lagging_Current_Reactive.Power_kVarh,True,0.6444664871804335,0.1601879495621427,0.1953455632574238,4.119133413243756,23,u_shaped,8.789670692940675,1.082967633974409,3.0583483392462405,2.9683311988954877,2.9683311988954877,21.56131226359841,Usage_kWh,21.56131226359841,False
15min,bidir,48,8.566513852533815,4.496928569962695,0.9257489282404668,0.9804151253381352,WeekStatus,7633987252751.318,Lagging_Current_Power_Factor,Usage_kWh,False,0.6157869511231532,0.15406154752373225,0.23015150135311446,3.3449640524644253,47,u_shaped,8.566513852533815,0.3036404567940707,1.1858480306968033,3.0713741297951085,3.0713741297951085,0.7354485446845214,Lagging_Current_Power_Factor,,False
15min,bidir,64,8.94316133915027,5.090606503074315,0.9190986523940824,0.978850079827834,Leading_Current_Power_Factor,2181595718868.4924,Usage_kWh,NSM,False,0.5743883330635611,0.07670775956826612,0.3489039073681728,1.8661186615625176,63,recency_dominant,8.94316133915027,0.07268409650661312,1.143615956703048,2.429677507790716,2.429677507790716,22.00865768614385,Usage_kWh,22.00865768614385,False
15min,bidir,96,8.408039329676209,4.407863232017744,0.9285341933381056,0.9806041254499036,Usage_kWh,0.0530713827817789,Day_of_week,NSM,True,0.5296465903387234,0.1398551342620768,0.33049827539919985,2.025734396925755,95,mixed,8.408039329676209,0.7724003715897148,0.7963404240696708,1.959803894967452,1.959803894967452,23.485188588595754,Usage_kWh,23.485188588595754,False
15min,bidir,672,8.576239957957686,4.503277709357189,0.9263017938093356,0.9808353537606036,Leading_Current_Reactive_Power_kVarh,0.0738292801266388,Leading_Current_Power_Factor,Lagging_Current_Power_Factor,False,0.814816324639781,0.18518364898399367,2.6376225306759827e-08,49.99999868118873,671,u_shaped,8.576239957957686,0.6563149089190023,0.6563149223377334,0.6563148750525425,0.6563148750525425,1.4978939803198887,Leading_Current_Power_Factor,,False
