step,mean_abs_attr
0,1.5570546e-05
1,1.04978e-05
2,8.0794925e-06
3,1.4347468e-05
4,1.558774e-05
5,1.1348924e-05
6,8.766767e-06
7,1.3969395e-05
8,1.37816e-05
9,9.190112e-06
10,7.971087e-06
11,1.3918225e-05
12,1.5375972e-05
13,1.0913004e-05
14,1.0001249e-05
15,1.5742102e-05
16,1.4559764e-05
17,9.342346e-06
18,1.00824545e-05
19,1.6326658e-05
20,1.6606984e-05
21,1.1466242e-05
22,1.1677648e-05
23,1.7455508e-05
24,1.5701744e-05
25,1.0432215e-05
26,1.2377585e-05
27,1.9487261e-05
28,1.8931376e-05
29,1.2786613e-05
30,1.4623275e-05
31,2.0140984e-05
32,1.6894015e-05
33,1.097907e-05
34,1.4447692e-05
35,2.0730184e-05
36,1.9049052e-05
37,1.2501837e-05
38,1.7171931e-05
39,2.2334796e-05
40,1.7607756e-05
41,1.2121457e-05
42,1.7974211e-05
43,2.4416533e-05
44,2.0771964e-05
45,1.38281075e-05
46,1.9628022e-05
47,2.4581477e-05
48,1.9300534e-05
49,1.3233303e-05
50,2.1473164e-05
51,2.853015e-05
52,2.3476834e-05
53,1.6016644e-05
54,2.434311e-05
55,2.8212875e-05
56,2.0554817e-05
57,1.5055814e-05
58,2.4324521e-05
59,2.9789846e-05
60,2.3137225e-05
61,1.8343077e-05
62,2.9201527e-05
63,3.1291478e-05
64,2.2442537e-05
65,1.888139e-05
66,3.097807e-05
67,3.497785e-05
68,2.5296287e-05
69,2.2208518e-05
70,3.374104e-05
71,3.391976e-05
72,2.3709417e-05
73,2.2760496e-05
74,3.7553622e-05
75,4.0061343e-05
76,2.710814e-05
77,2.8254304e-05
78,4.2621956e-05
79,3.9371087e-05
80,2.7041864e-05
81,2.8510734e-05
82,4.137703e-05
83,3.9878298e-05
84,2.5370482e-05
85,3.4157965e-05
86,4.844119e-05
87,4.303168e-05
88,2.9781837e-05
89,3.7777663e-05
90,5.1829702e-05
91,4.7893576e-05
92,3.1530817e-05
93,4.1906005e-05
94,5.6096906e-05
95,4.5387736e-05
96,3.4917462e-05
97,4.913786e-05
98,6.654016e-05
99,6.105006e-05
100,4.13538e-05
101,5.758715e-05
102,7.21564e-05
103,5.7027984e-05
104,4.5597004e-05
105,6.330064e-05
106,7.606988e-05
107,6.060158e-05
108,4.9295533e-05
109,7.799183e-05
110,9.7150114e-05
111,7.679165e-05
112,6.637581e-05
113,9.150481e-05
114,9.70921e-05
115,7.805924e-05
116,7.1511124e-05
117,0.00010591502
118,0.00011920361
119,8.526014e-05
120,8.3397004e-05
121,0.0001240553
122,0.00014104471
123,0.00011195111
124,0.00010734296
125,0.00014759976
126,0.00014104303
127,0.00010378916
128,0.00011514686
129,0.00018918936
130,0.00020657142
131,0.00015062692
132,0.00016586462
133,0.00023008056
134,0.00022378788
135,0.00017758
136,0.00022453275
137,0.00029717677
138,0.00024244403
139,0.00018049548
140,0.00028565462
141,0.0004082971
142,0.00041121003
143,0.00033715696
144,0.00037373308
145,0.00044299877
146,0.0003912489
147,0.0003697811
148,0.0004980671
149,0.00063739903
150,0.0006045309
151,0.00050648523
152,0.000714309
153,0.0010403397
154,0.0010940791
155,0.0009768121
156,0.0009487576
157,0.0011519024
158,0.0011475582
159,0.0010255023
160,0.00106956
161,0.0017053712
162,0.0019525134
163,0.0015540706
164,0.0015868845
165,0.0020949973
166,0.0060072537
167,0.027449477
